Age Groups;Mean;Standard Error of the Mean;5th;10th;15th;25th;50th;75th;85th;90th;95th
20-29;85.5;1.44;58.3;61.5;64.0;69.3;81.3;98.2;109.8;116.0;128.1
30-39;94.4;1.21;65.0;70.2;73.6;77.6;89.7;104.6;116.2;123.8;139.9
40-49;93.9;1.04;66.3;70.1;74.5;79.9;90.5;104.0;113.7;119.6;133.3
50-59;91.9;1.12;63.2;68.5;71.0;76.7;89.6;102.0;110.4;123.9;130.6
60-69;91.2;0.81;62.3;67.6;70.8;76.5;89.5;102.9;109.7;116.7;128.1
70-79;87.7;1.09;60.5;67.0;69.6;75.7;85.3;98.0;105.8;108.7;119.0
80 and over;80.5;0.90;56.2;62.0;64.6;69.2;79.6;90.0;97.2;99.2;107.9
